timestep,reward,forward_vel,torso_z,ctrl_cost,alive_bonus,fall_penalty
1,10.0,-0.07081223675206147,0.29996076,0.0012300644,5.0,0.0
2,2.0195131301879883,0.00042628049598932786,0.29988227952181123,0.0020194899,5.0,0.0
3,1.237536907196045,-0.043893294134227656,0.2997645565669875,0.0023642504,5.0,0.0
4,0.9311141967773438,0.12338083924668343,0.2996076004316677,0.0025327085,5.0,0.0
5,0.7337673902511597,0.10940133796141653,0.2994113886065304,0.00355529,5.0,0.0
6,0.6063565015792847,0.08632694217577015,0.29917595035080324,0.002978278,5.0,0.0
7,0.5053869485855103,-0.07033995011274165,0.29890125887748625,0.0017268611,5.0,0.0
8,0.4422350525856018,-0.0985055300524829,0.2985873324276712,0.0019480239,5.0,0.0
9,0.4334939420223236,0.4085107889074395,0.2982341667748603,0.004044071,5.0,0.0
10,0.39182284474372864,0.4434079231513656,0.29784176103972376,0.0023208286,5.0,0.0
11,0.3559460937976837,0.45464033019959016,0.29741012119683036,0.0021969934,5.0,0.0
12,0.31382036209106445,0.2503226493506707,0.2969392375563521,0.0023686693,5.0,0.0
13,0.2716451585292816,-0.09087756053100716,0.29642912470236776,0.0025364775,5.0,0.0
14,0.23714275658130646,-0.4140676197285044,0.29587978362940703,0.00473852,5.0,0.0
15,0.23700450360774994,-0.12970056709105773,0.295291187796745,0.0013539916,5.0,0.0
16,0.23278634250164032,0.06895316965217085,0.29466333750431517,0.0026298873,5.0,0.0
17,0.20144043862819672,-0.375891147065808,0.29399625847978195,0.0038887076,5.0,0.0
18,0.2011568397283554,-0.15226698775659117,0.2932899453432311,0.0019109413,5.0,0.0
19,0.195778027176857,-0.058301288169760254,0.29254438291385926,0.0011767687,5.0,0.0
20,0.20647111535072327,0.45659488616922544,0.2917595723815074,0.0031350136,5.0,0.0
21,0.1779124140739441,-0.09109311460673994,0.2909355311726642,0.0037497361,5.0,0.0
22,0.1742040365934372,0.00432556989137191,0.2900722561914896,0.0015216238,5.0,0.0
23,0.1776866316795349,0.3106936076880885,0.28916971785151707,0.002102556,5.0,0.0
24,0.16936062276363373,0.2583523644490845,0.28822793510025335,0.0019162585,5.0,0.0
25,0.1628502607345581,0.24580761845150725,0.2872469150428757,0.002546448,5.0,0.0
26,0.14556896686553955,-0.1453908049224244,0.28622669659448324,0.0028603866,5.0,0.0
27,0.14665614068508148,0.05440162487396214,0.2851672435411257,0.0020929417,5.0,0.0
28,0.1426500827074051,0.07577649758165782,0.2840685096429836,0.0031885116,5.0,0.0
29,0.13834291696548462,0.07304659435237254,0.28293053601467855,0.0016218191,5.0,0.0
30,0.13319571316242218,0.029564785052046606,0.28175333068192143,0.0022469335,5.0,0.0
31,0.12989075481891632,0.044363183137364766,0.28053687049705717,0.0023565385,5.0,0.0
32,0.13591960072517395,0.42504373755678904,0.2792811549979519,0.002123211,5.0,0.0
33,0.1327221840620041,0.4424706750596676,0.2779861837954806,0.0029714718,5.0,0.0
34,0.12577295303344727,0.2954513218238743,0.27665195712670504,0.0046696546,5.0,0.0
35,0.1149134412407875,-0.04275609305099311,0.27527852909771355,0.0012876983,5.0,0.0
36,0.11424604058265686,0.050290783246707126,0.2738658541341561,0.0035408111,5.0,0.0
37,0.11755530536174774,0.31883759521966276,0.27241397444778165,0.0031751601,5.0,0.0
38,0.11155210435390472,0.16124763704557069,0.270922841311299,0.001724283,5.0,0.0
39,0.11300203204154968,0.3467207016701442,0.26939242764085625,0.0036268407,5.0,0.0
40,0.10859869420528412,0.24747971019662368,0.2678227912126321,0.0014436204,5.0,0.0
41,0.10300955176353455,0.08239461500087861,0.26621391550922135,0.0024032025,5.0,0.0
42,0.10071241855621338,0.06921970678213504,0.2645658270437293,0.0023242116,5.0,0.0
43,0.09916770458221436,0.0891158324420972,0.2628784745070435,0.0025726797,5.0,0.0
44,0.1015387549996376,0.31127311495580456,0.2611518665815659,0.0038904864,5.0,0.0
45,0.09842569380998611,0.24120665504923677,0.25938606066993314,0.0011042539,5.0,0.0
46,0.0914306640625,-0.04262248020199072,0.25758103880522726,0.002640526,5.0,0.0
47,0.0878341868519783,-0.15537393960813323,0.2557367705697231,0.0029620724,5.0,0.0
48,0.09214729815721512,0.16608194648166766,0.25385322038478964,0.0016136783,5.0,0.0
49,0.0885099247097969,0.04401850499928555,0.2519304362283652,0.0028242455,5.0,0.0
50,0.08399363607168198,-0.1385865130175019,0.24996840727604164,0.0024772715,5.0,0.0
51,0.08257587254047394,-0.14756520147284855,0.24796713355349262,0.0032221184,5.0,0.0
52,0.08044474571943283,-0.20248969338835898,0.24592665983049164,0.0044597047,5.0,0.0
53,0.0799928680062294,-0.16350157870825452,0.2438469413182832,0.0030291846,5.0,0.0
54,0.07654391974210739,-0.3095900036575796,0.24172794710496934,0.0023609751,5.0,0.0
55,0.07604154944419861,-0.28009462600567686,0.23956978593140799,0.0013578916,5.0,0.0
56,0.07865775376558304,-0.054858758844896854,0.23737231468168973,0.0016656648,5.0,0.0
57,0.07427719235420227,-0.26885986322490285,0.23513564243083135,0.0050288984,5.0,0.0
58,0.07849358022212982,0.05730999503042751,0.23285969309520405,0.0021682852,5.0,0.0
59,0.08014082163572311,0.22585942982404117,0.23054451715892943,0.0027588985,5.0,0.0
60,0.07562503963708878,-0.011182219143836502,0.22819012530002042,0.0022757985,5.0,0.0
61,0.07061351835727692,-0.28710852422541394,0.22579647984044451,0.00394271,5.0,0.0
62,0.07119234651327133,-0.19766800073196314,0.22336358307658227,0.0023638452,5.0,0.0
63,0.06968694925308228,-0.2504425830766477,0.22142075141597747,0.0006796797,5.0,0.0
64,0.06467178463935852,-0.5440534554064965,0.2198906918210319,0.0033042107,5.0,0.0
65,0.08150097727775574,0.6741752678479648,0.21870907397905426,0.0046710283,5.0,0.0
